"Id","SalePrice"
1461,124928.048965004
1462,162924.567473361
1463,177983.879080506
1464,192194.555572802
1465,195617.053972193
1466,173475.418114467
1467,182165.043506781
1468,163536.78184249
1469,192492.866408372
1470,117002.486795236
1471,186298.379663854
1472,103407.695565277
1473,102369.330952604
1474,144483.949925732
1475,122156.145073902
1476,359483.373232301
1477,247785.731427185
1478,298515.037063067
1479,277746.042869041
1480,513262.459338311
1481,330532.476936443
1482,214416.290709041
1483,179580.120203627
1484,164531.80521432
1485,179290.004158829
1486,195434.281485691
1487,340126.787865173
1488,242787.273783881
1489,199939.79338214
1490,219782.897405132
1491,190677.244830819
1492,99974.389989693
1493,177576.2171489
1494,321309.817704016
1495,309901.56570339
1496,224973.684117904
1497,186391.749820666
1498,160247.075688994
1499,159800.374403118
1500,158385.080341063
1501,174378.030047709
1502,148104.468777755
1503,278206.577950084
1504,241972.344960743
1505,224827.918796669
1506,198525.85689879
1507,249120.416273192
1508,194039.740667476
1509,162482.412974045
1510,143378.261017594
1511,144689.489619969
1512,175478.201293769
1513,145436.015763642
1514,151478.127553185
1515,191495.329287692
1516,155936.565709593
1517,169346.897631138
1518,134173.526568066
1519,197197.653918138
1520,132631.654074014
1521,133190.336914196
1522,171962.826230627
1523,113652.635940524
1524,122367.969527493
1525,121086.963274977
1526,116056.553267826
1527,106914.483298224
1528,145127.774322548
1529,140872.338883181
1530,183347.135813301
1531,102311.052423784
1532,104656.238287834
1533,153881.423962154
1534,122952.71635784
1535,158165.352170607
1536,113934.631659372
1537,66569.6626485565
1538,160085.341634359
1539,202474.740937036
1540,94451.5228109495
1541,143068.430688778
1542,140976.31510602
1543,175878.213389031
1544,88310.9208997558
1545,107435.211307208
1546,123317.591261509
1547,128887.3815538
1548,129278.644420147
1549,116378.422505521
1550,131272.711206732
1551,114527.975024439
1552,133076.070745895
1553,147560.35414074
1554,123388.431517219
1555,178730.299703845
1556,103598.172324996
1557,104455.385499717
1558,98958.5832065291
1559,84242.7696020554
1560,137888.281829166
1561,128209.26807689
1562,127941.6423493
1563,114202.824064912
1564,159056.082067743
1565,140175.443320203
1566,240390.868996326
1567,77122.995645175
1568,241193.850793928
1569,129526.093964668
1570,143693.113263579
1571,126014.61115125
1572,149638.784602599
1573,230648.205153588
1574,112945.90752682
1575,222231.674381372
1576,223576.78038448
1577,182015.006767938
1578,150661.259308553
1579,142477.441252766
