"Id","SalePrice"
1461,126318.086612861
1462,164374.827923595
1463,178580.063765434
1464,191468.380223116
1465,194904.653404736
1466,174369.349455258
1467,182335.519434384
1468,164181.777293563
1469,192591.418975033
1470,116613.529976274
1471,185929.211586875
1472,103511.732359523
1473,102743.926530804
1474,143219.568686341
1475,123780.278366916
1476,362496.971699116
1477,246638.876937587
1478,299491.531768343
1479,274686.994334178
1480,515668.902647124
1481,329961.917731237
1482,214348.240250607
1483,178996.111960252
1484,165530.027237274
1485,178583.351778996
1486,195573.67877345
1487,337395.715491577
1488,242848.029314755
1489,202823.186738263
1490,216137.68438297
1491,190245.738872845
1492,100188.104366165
1493,176698.9919312
1494,320406.111603442
1495,307490.975960048
1496,225230.749333203
1497,186809.622614142
1498,159065.857286995
1499,158258.733863387
1500,158092.73404234
1501,174502.764594465
1502,146882.361630933
1503,281985.682885786
1504,242900.768894922
1505,224733.218343574
1506,197579.216627534
1507,249297.845644879
1508,191877.659411408
1509,163429.641924182
1510,144379.212568652
1511,144880.35047783
1512,173527.915841087
1513,145465.419761693
1514,150672.421831301
1515,188990.505460879
1516,156406.359893937
1517,168015.070737404
1518,132561.401120842
1519,195541.515858404
1520,133840.779384869
1521,134459.391462168
1522,170462.487215537
1523,113872.497100806
1524,122591.64687178
1525,121661.433923195
1526,117120.817979565
1527,107058.785907407
1528,143774.509687184
1529,141342.68332844
1530,180654.877572115
1531,101141.165470386
1532,104762.796880644
1533,153154.044199703
1534,123061.04705672
1535,157803.696949806
1536,114169.631824104
1537,67333.6059309056
1538,165193.600865165
1539,204321.963213888
1540,94728.8208915281
1541,144268.574518953
1542,140983.879465874
1543,177605.577994169
1544,87360.8853247907
1545,106411.77152225
1546,122304.235590222
1547,129281.476599686
1548,129064.353699412
1549,116380.352102947
1550,133055.560498627
1551,113461.908279876
1552,133487.716889339
1553,147946.312477777
1554,123305.107595116
1555,178876.442156867
1556,107310.534983925
1557,104548.879535472
1558,98655.7476591678
1559,85209.6239446189
1560,137398.98710357
1561,129433.651655191
1562,127443.8909869
1563,114393.331341353
1564,159792.380611637
1565,140169.804095888
1566,237144.376550422
1567,76353.0420262215
1568,242304.506037653
1569,129764.768041144
1570,144792.106011639
1571,126442.145495714
1572,151039.547516513
1573,230669.896828075
1574,110110.661808703
1575,220774.209737605
1576,220423.019347411
1577,185178.150890375
1578,152227.33610376
1579,141916.096966656
1580,190037.63318013
1581,154356.516331548
1582,128931.203778755
1583,310074.929616891
1584,227297.438112361
1585,142177.697516463
1586,74537.2583517446
1587,94105.1698306925
1588,148301.917642339
1589,102655.459939159
1590,138800.466398491
1591,98333.6136825712
1592,116026.666338605
1593,119988.180783802
1594,132246.551994069
1595,121246.962350145
1596,234044.994904537
1597,191960.591436752
1598,211425.974781278
1599,178961.005457369
1600,170641.953285863
1601,66647.5417448477
1602,107581.453740971
1603,81863.9947310996
1604,259909.425782753
1605,241621.880823493
1606,172070.708486828
1607,174214.1440738
1608,217470.858695361
1609,191791.613751467
1610,165659.566932567
1611,143421.965363892
1612,167291.5715427
1613,159422.963980674
1614,122462.884949719
1615,93583.6973765567
1616,81741.848608348
1617,94144.9042641783
1618,124126.854371177
1619,143481.719309777
1620,144473.426596146
1621,137586.852060251
1622,140202.879376595
1623,280256.131259479
1624,210005.577630215
1625,123236.848520737
1626,167211.240309238
1627,185058.560648803
1628,273499.890849417
1629,173100.121319584
1630,358006.475043837
1631,226527.595339992
1632,243352.280253885
1633,166852.740824738
1634,180240.594615553
1635,173664.503143097
1636,156927.079401978
1637,191510.956176207
1638,194782.254775164
1639,184888.272823871
1640,269847.840211033
1641,181780.137573974
1642,238388.869575598
1643,234891.680692987
1644,235517.518187091
1645,211510.507615957
1646,161413.79574491
1647,160601.276489883
1648,130819.534316567
1649,137724.324559028
1650,111991.159959811
1651,123028.513053826
1652,101855.686535934
1653,104918.817008283
1654,145813.853227842
